# File: hubo-config.txt
# This file contains the default values for all of Hubo's joints

#jntNo	name	motNo	refEnc	drive	driven	harm	enc	dir	jmc	can	active	numMot	zeroed
0	WST	0	0	10	25	100	4000	1	35	0	1	1	0
1	NKY	0	0	1	1	100	128	1	34	1	1	3	0
2	NK1	1	0	1	1	100	128	1	34	1	1	3	0
3	NK2	2	0	1	1	100	128	1	34	1	1	3	0
4	LSP	0	0	11	16	100	4000	1	10	1	1	2	0
5	LSR	1	0	1	1	100	4000	1	10	1	1	2	0
6	LSY	0	0	1	1	100	4000	1	11	1	1	2	0
7	LEB	1	0	20	24	100	4000	1	11	1	1	2	0
8	LWY	0	0	1	1	100	4000	1	33	1	1	2	0
10	LWP	1	0	1	1	100	4000	1	33	1	1	2	0
11	RSP	0	0	11	16	100	4000	1	8	1	1	2	0
12	RSR	1	0	1	1	100	4000	1	8	1	1	2	0
13	RSY	0	0	1	1	100	4000	1	9	1	1	2	0
14	REB	1	0	20	24	100	4000	1	9	1	1	2	0
15	RWY	0	0	1	1	100	4000	1	32	1	1	2	0
17	RWP	1	0	1	1	100	4000	1	32	1	1	2	0
19	LHY	0	0	10	25	100	4000	1	4	0	1	2	0
20	LHR	1	0	324	1024	160	4000	1	4	0	1	2	0
21	LHP	0	0	16	20	160	4000	1	5	0	1	1	0
22	LKN	0	0	16	16	160	4000	1	6	0	1	1	0
23	LAP	0	0	10	25	100	4000	1	7	0	1	2	0
24	LAR	1	0	324	1024	100	4000	1	7	0	1	2	0
26	RHY	0	0	10	25	100	4000	1	0	0	1	2	0
27	RHR	1	0	324	1024	160	4000	1	0	0	1	2	0
28	RHP	0	0	16	20	160	4000	1	1	0	1	1	0
29	RKN	0	0	16	16	160	4000	1	2	0	1	1	0
30	RAP	0	0	10	25	100	4000	1	3	0	1	2	0
31	RAR	1	0	324	1024	100	4000	1	3	0	1	2	0
32	RF1	0	0	1	1	256	4000	1	36	1	1	5	0
33	RF2	1	0	1	1	256	4000	1	36	1	1	5	0
34	RF3	2	0	1	1	256	128	1	36	1	1	5	0
35	RF4	3	0	1	1	256	128	1	36	1	1	5	0
36	RF5	4	0	1	1	256	128	1	36	1	1	5	0
37	LF1	0	0	1	1	256	128	1	37	1	1	5	0
38	LF2	1	0	1	1	256	128	1	37	1	1	5	0
39	LF3	2	0	1	1	256	128	1	37	1	1	5	0
40	LF4	3	0	1	1	256	128	1	37	1	1	5	0
41	LF5	4	0	1	1	256	128	1	37	1	1	5	0
